tourney_date,winner_id,loser_id,winner_name,loser_name,diff_rank,diff_elo_global,diff_elo_surface,diff_avg_aces,diff_avg_dfs,diff_p1_in,diff_p1_won,diff_momentum,diff_h2h,surface_code
2024-01-01,126094,209950,Andrey Rublev,Arthur Fils,31.0,224.5865424581682,227.19422845950749,0.777087556398353,-0.9829987576015169,-0.0029263075086014556,0.017361568283227213,-1,0,0
2024-01-01,134770,106432,Casper Ruud,Borna Coric,26.0,52.177926166053794,-39.87004975371519,-1.3188384553997494,0.21590853569160107,0.01920866162550472,-0.013261242061377798,0,-1,0
2024-01-01,209992,126207,Juncheng Shang,Frances Tiafoe,-167.0,-209.87631721306684,-166.9903437815692,-4.520945945945946,0.23085585585585555,0.04285609606601559,-0.07466874260043133,-1,-2,0
2024-01-01,124116,105138,Sebastian Ofner,Roberto Bautista Agut,14.0,-13.233170841164792,-53.736660904703285,2.629270248596632,1.3636728147554127,-0.08672285669225988,0.009134501258130423,2,0,0
2024-01-01,200325,124116,Emil Ruusuvuori,Sebastian Ofner,-26.0,59.22720715496371,105.71901002986829,-2.1054647599591423,0.016087844739530066,0.07870956574948251,-0.018772932388803176,-1,1,0
2024-01-01,126094,209992,Andrey Rublev,Juncheng Shang,178.0,374.809146539581,324.0776490255107,4.503008021390374,-0.13736631016042766,-0.036526388453904435,0.10383719674441783,2,0,0
2024-01-01,126094,200325,Andrey Rublev,Emil Ruusuvuori,64.0,201.0383363493304,157.30051502169704,3.020737430167598,-0.6512923649906894,-0.044429846032961295,0.060743863271931375,0,1,0
2024-01-01,134770,134868,Casper Ruud,Tallon Griekspoor,12.0,16.21683909639387,-23.678751890953208,-2.750409788081021,-0.8610818405338954,0.010002093300210957,-0.015378552197880535,-1,1,0
2024-01-01,100644,132283,Alexander Zverev,Lorenzo Sonego,39.0,236.76909240963505,209.80528280728322,2.908579830479157,2.019179207749524,0.01915514204810298,0.02628709801164808,0,2,0
2024-01-01,104925,111190,Novak Djokovic,Zhizhen Zhang,57.0,512.271403037161,555.0599399944417,-0.29638661050764803,0.6956883174462425,0.006531817802967077,0.044773079692807416,2,0,0
2024-01-01,104925,208103,Novak Djokovic,Jiri Lehecka,30.0,507.8763497061211,517.4418948345101,1.0184464219503155,0.15730441230997405,0.002403921566034417,0.05952195503446167,4,0,0
